datetime;height;number;rate;sample;ball;combustion;combustion_bool;name;VIS3_peak_y;VIS3_base_y1;VIS3_base_y2;VIS3_base_width;VIS3_half_y1;VIS3_half_y2;VIS3_half_width;VIS3_integral;VIS3_slope_pos;VIS3_slope_neg;IR3_peak_y;IR3_base_y1;IR3_base_y2;IR3_base_width;IR3_half_y1;IR3_half_y2;IR3_half_width;IR3_integral;IR3_slope_pos;IR3_slope_neg;VIS1_peak_y;VIS1_base_y1;VIS1_base_y2;VIS1_base_width;VIS1_half_y1;VIS1_half_y2;VIS1_half_width;VIS1_integral;VIS1_slope_pos;VIS1_slope_neg;VIS2_peak_y;VIS2_base_y1;VIS2_base_y2;VIS2_base_width;VIS2_half_y1;VIS2_half_y2;VIS2_half_width;VIS2_integral;VIS2_slope_pos;VIS2_slope_neg;IR2_peak_y;IR2_base_y1;IR2_base_y2;IR2_base_width;IR2_half_y1;IR2_half_y2;IR2_half_width;IR2_integral;IR2_slope_pos;IR2_slope_neg;Mikro_peak_y;Mikro_base_y1;Mikro_base_y2;Mikro_base_width;Mikro_half_y1;Mikro_half_y2;Mikro_half_width;Mikro_integral;Mikro_slope_pos;Mikro_slope_neg;Piezo_peak_y;Piezo_base_y1;Piezo_base_y2;Piezo_base_width;Piezo_half_y1;Piezo_half_y2;Piezo_half_width;Piezo_integral;Piezo_slope_pos;Piezo_slope_neg;IR1_peak_y;IR1_base_y1;IR1_base_y2;IR1_base_width;IR1_half_y1;IR1_half_y2;IR1_half_width;IR1_integral;IR1_slope_pos;IR1_slope_neg
19-04-2023_09-20-29;40;11;100000;AgN3;15;full;True;AgN3_11;10,222023475119022;0,029608647203218718;0,029608647203218718;0,000180000000000069;5,111011737559511;5,111011737559511;9,99999999995449e-06;0,00026282823313686685;19034,876233360068;-14652,06334964935;6,993774087750499;0,024917181589613376;0,024917181589613376;0,00019000000000002348;3,4968870438752493;3,4968870438752493;2,999999999997449e-05;0,00022828452950211692;13014,71054076929;-9875,938022449636;0,5376820180585674;0,013843608032353454;0,013843608032353454;0,000140000000000029;0,2688410090292837;0,2688410090292837;2,999999999997449e-05;1,9399608865769348e-05;996,9329337259234;-787,0286663354602;1,4607058616093676;0,01778122603558377;0,01778122603558377;0,00017000000000000348;0,7303529308046838;0,7303529308046838;2,999999999997449e-05;5,1462553603825775e-05;2746,0740994842195;-2074,300100017247;3,427597525388419;0,02107457803473152;0,02107457803473152;0,000180000000000069;1,7137987626942095;1,7137987626942095;1,999999999990898e-05;0,0001187120639014875;6361,862599173445;-4897,032829742746;4,890477545119729;0,026176252793344422;0,026176252793344422;-0,11887;2,4452387725598643;2,4452387725598643;0,05471999999999999;0,0;20,99056329946378;13,903464576004708;0,2172715033155783;0,0002514236163979565;0,0002514236163979565;0,018650000000000055;0,10863575165778915;0,10863575165778915;0,00039999999999995595;0,00027700391010262304;295,04062170209045;-11,431736183058382;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0
19-04-2023_09-22-46;40;14;100000;AgN3;15;full;True;AgN3_14;4,505908809496978;0,029038888615632537;0,029038888615632537;0,00015999999999993797;2,252954404748489;2,252954404748489;2,999999999997449e-05;0,00014460494468163094;8540,711055138348;-6738,92481279207;4,283894820282294;0,024432677294768314;0,024432677294768314;0,00015999999999993797;2,141947410141147;2,141947410141147;2,999999999997449e-05;0,00013474698934433968;8125,953189722132;-6411,666104177587;0,3053602044322179;0,013952337547587028;0,013952337547587028;0,00010999999999994348;0,15268010221610895;0,15268010221610895;2,999999999997449e-05;1,0155813819852122e-05;555,9309147329177;-474,38931250349435;0,8377920090458065;0,017915673272948428;0,017915673272948428;0,00014999999999998348;0,41889600452290326;0,41889600452290326;2,999999999997449e-05;3,0447199098977043e-05;1594,562762846703;-1234,1587424327606;1,9382418416310885;0,0206625419199807;0,0206625419199807;0,00015999999999993797;0,9691209208155442;0,9691209208155442;2,0000000000020002e-05;6,35186288008734e-05;3658,245831034317;-2886,486083289111;4,91755363463564;0,03289822409029564;0,03289822409029564;-0,29971000000000003;2,45877681731782;2,45877681731782;0,047090000000000076;0,0;272,5652464864138;15,414548575253923;0,10052157305576205;0,00024817798803135165;0,00024817798803135165;0,30067;0,050260786527881025;0,050260786527881025;0,00043000000000004146;0,00014608296486620778;0,35302016912896056;-5,674293726161136;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0
19-04-2023_09-23-39;40;15;100000;AgN3;15;full;True;AgN3_15;4,676339852737601;0,02941158613207171;0,02941158613207171;0,00012999999999996348;2,3381699263688005;2,3381699263688005;2,999999999997449e-05;0,0001336437544352968;8937,259864614105;-7148,240626701856;4,150772027119092;0,02475086622046631;0,02475086622046631;0,00012999999999996348;2,075386013559546;2,075386013559546;2,999999999997449e-05;0,00012262693939732168;7935,419099719465;-6346,943700620458;0,2834761251893724;0,0139736787504495;0,0139736787504495;8,999999999992347e-05;0,1417380625946862;0,1417380625946862;2,999999999997449e-05;8,736809567405534e-06;518,3237742839815;-441,77832017405655;0,8037214057633174;0,017876690069829084;0,017876690069829084;0,00012000000000000899;0,4018607028816587;0,4018607028816587;2,999999999997449e-05;2,4161804766109473e-05;1511,3851633687575;-1227,748083324476;1,7873559730979014;0,02090646844333183;0,02090646844333183;0,00012999999999996348;0,8936779865489507;0,8936779865489507;2,999999999997449e-05;5,615675042232666e-05;3333,1751540772284;-2759,732384475;4,874019129808842;0,025794587797772765;0,025794587797772765;-0,30164;2,437009564904421;2,437009564904421;0,04852999999999996;0,0;585,0256470232534;15,680800971113696;0,09711467393287879;0,000251068083743263;0,000251068083743263;0,29994000000000004;0,04855733696643939;0,04855733696643939;0,00047999999999992493;0,00015280373772396841;0,34189962202591495;-5,476474304562057;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0
19-04-2023_09-25-55;40;17;100000;AgN3;15;full;True;AgN3_17;3,0769294306660324;0,029626361954373185;0,029626361954373185;0,00017000000000000348;1,5384647153330162;1,5384647153330162;2,0000000000020002e-05;9,67424359753153e-05;5185,398384658102;-4021,0375128154587;3,1266687308372645;0,024866727001633098;0,024866727001633098;0,00017999999999995797;1,5633343654186322;1,5633343654186322;2,999999999997449e-05;9,822954211833187e-05;5189,736989419045;-4092,8970163433937;0,21530162255843605;0,013854868467076432;0,013854868467076432;9,999999999998899e-05;0,10765081127921802;0,10765081127921802;2,999999999997449e-05;7,45183242106556e-06;337,0478418072914;-297,2199331504096;0,8080447289490894;0,017774649186748114;0,017774649186748114;0,00015999999999993797;0,4040223644745447;0,4040223644745447;2,0000000000020002e-05;2,4570731988208183e-05;1344,7514417316465;-1056,7509724970294;1,484312352080469;0,021126145153497734;0,021126145153497734;0,00017000000000000348;0,7421561760402345;0,7421561760402345;2,999999999997449e-05;5,1595206636701094e-05;2448,1097023944812;-1956,549806010752;4,818326414339049;0,020320063880603596;0,020320063880603596;-0,43893000000000004;2,4091632071695246;2,4091632071695246;0,04688000000000003;0,0;470,08077486398565;10,700478178844461;0,10194024864469159;0,0002481770540080005;0,0002481770540080005;0,016680000000000028;0,050970124322345794;0,050970124322345794;0,0005100000000000104;0,00011724343886751358;112,00800924186353;-5,994489095939574;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0
19-04-2023_09-11-25;40;2;100000;AgN3;15;full;True;AgN3_2;10,222027849293626;0,029597436646308598;0,029597436646308598;0,00017000000000000348;5,111013924646813;5,111013924646813;2,0000000000020002e-05;0,00027349720586769847;18705,139314824883;-14664,10153461484;7,116491615128034;0,024917969948002723;0,024917969948002723;0,00017000000000000348;3,558245807564017;3,558245807564017;2,0000000000020002e-05;0,0001575640465311525;13258,003786162824;-10058,113699799726;0,4578559154840877;0,014177947011442867;0,014177947011442867;0,00012000000000000899;0,22892795774204386;0,22892795774204386;2,0000000000020002e-05;1,08946642546531e-05;829,4751602622642;-677,360602849899;1,315900994009753;0,018272015002048055;0,018272015002048055;0,00015999999999993797;0,6579504970048765;0,6579504970048765;2,0000000000020002e-05;4,031025750356879e-05;2381,45126357232;-1894,2382620107828;2,81296314978923;0,02112486352417379;0,02112486352417379;0,00017000000000000348;1,406481574894615;1,406481574894615;2,0000000000020002e-05;7,656433127972412e-05;5219,46248063208;-3959,717309541538;4,855301765681375;0,025301574735834276;0,025301574735834276;-0,34112;2,4276508828406875;2,4276508828406875;0,04710000000000003;0,0;269,354646977878;13,480070333437872;0,16652648284547925;0,00024678673545743544;0,00024678673545743544;0,015720000000000067;0,08326324142273962;0,08326324142273962;0,000260000000000038;0,00016468630795395613;220,2409251911202;-10,359789396462133;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0
19-04-2023_09-29-28;40;20;100000;AgN3;15;full;True;AgN3_20;7,0571314630705455;0,029005904488846674;0,029005904488846674;0,00013999999999991797;3,5285657315352728;3,5285657315352728;9,99999999995449e-06;0,00012234807886790913;12059,447757481033;-9721,723484407446;5,374901363791869;0,024402740418651175;0,024402740418651175;0,00014999999999998348;2,6874506818959345;2,6874506818959345;2,0000000000020002e-05;0,0001114724416693344;9180,834646053861;-7300,049967765324;0,37145562931191306;0,013845122391387715;0,013845122391387715;0,00010999999999994348;0,18572781465595653;0,18572781465595653;2,0000000000020002e-05;8,934786935091425e-06;613,6181247457224;-516,1069518265039;0,8881302674212748;0,017757855951861495;0,017757855951861495;0,00012999999999996348;0,4440651337106374;0,4440651337106374;2,0000000000020002e-05;2,431062337538119e-05;1493,4580405797913;-1220,855652064105;1,594359464360314;0,020545209611250594;0,020545209611250594;0,00013999999999991797;0,797179732180157;0,797179732180157;2,999999999997449e-05;5,40635440223084e-05;2700,4826005065534;-2176,9939755568066;4,8013961691307125;0,09343083470694327;0,09343083470694327;0,1615399999999999;2,4006980845653563;2,4006980845653563;0,04701999999999995;0,29899475209011833;246,4800078752612;-32,7433551254701;0,1257958173588759;0,0002592545417233018;0,0002592545417233018;0,018670000000000075;0,06289790867943795;0,06289790867943795;0,0006500000000000394;0,0001813057914254653;154,43241129446733;-6,5928463409411435;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0
19-04-2023_09-30-05;40;21;100000;AgN3;15;full;True;AgN3_21;4,703046532008284;0,029565158501732747;0,029565158501732747;0,00017999999999995797;2,351523266004142;2,351523266004142;2,0000000000020002e-05;0,00015425752482783487;8670,169329179358;-6684,040866000029;4,738183571239788;0,02485530179248114;0,02485530179248114;0,00018999999999991246;2,369091785619894;2,369091785619894;2,0000000000020002e-05;0,00014264002802785454;8744,092665432932;-6645,885237726401;0,30679916636250715;0,013626043677845416;0,013626043677845416;0,00012000000000000899;0,15339958318125357;0,15339958318125357;2,0000000000020002e-05;9,677863798147653e-06;543,8901780693549;-458,6993814886719;0,7566049899444351;0,01750917441710198;0,01750917441710198;0,00015999999999993797;0,3783024949722176;0,3783024949722176;2,0000000000020002e-05;2,7501632753801056e-05;1371,158962446415;-1088,2178737999534;1,6493406126536594;0,021018604085868867;0,021018604085868867;0,000160000000000049;0,8246703063268297;0,8246703063268297;2,0000000000020002e-05;5,358438065352587e-05;3077,938885446959;-2362,6605269487018;4,800117215798691;0,07688783595705921;0,07688783595705921;0,17152;2,4000586078993456;2,4000586078993456;0,04669000000000001;0,28469653915361637;598,9469013442568;-28,648193491538937;0,13416464590841318;0,0002562217769088799;0,0002562217769088799;0,012850000000000028;0,06708232295420659;0,06708232295420659;0,000300000000000078;0,0001223209655139617;157,6765938952855;-10,244077064541584;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0
19-04-2023_09-31-03;40;22;100000;AgN3;15;full;True;AgN3_22;5,53892216387565;0,028964762267365954;0,028964762267365954;0,000140000000000029;2,769461081937825;2,769461081937825;9,99999999995449e-06;0,00013595571114411757;9286,96679859786;-7723,19274716374;4,204990730851132;0,024388706844035997;0,024388706844035997;0,00014999999999998348;2,102495365425566;2,102495365425566;2,0000000000020002e-05;0,00011230227459275493;7046,354330030277;-5778,781963960556;0,2775424870467759;0,01365972843692427;0,01365972843692427;9,999999999998899e-05;0,13877124352338796;0,13877124352338796;2,999999999997449e-05;8,402355007259287e-06;444,77120952274277;-391,8721077086039;0,5955777699581905;0,01750953817921739;0,01750953817921739;0,00012000000000000899;0,2977888849790952;0,2977888849790952;2,999999999997449e-05;1,9969918790942598e-05;974,3270382251048;-833,6600738077921;1,654740662266504;0,020589050795717614;0,020589050795717614;0,000140000000000029;0,827370331133252;0,827370331133252;1,999999999990898e-05;4,7933064159225936e-05;2754,342847582563;-2290,5563425577934;4,7603102986695705;0,07818318583648608;0,07818318583648608;0,14635999999999993;2,3801551493347852;2,3801551493347852;0,04689999999999994;0,291548727923733;1180,510039315625;-32,58057306178225;0,1454702883910477;0,00025794743557647134;0,00025794743557647134;0,017099999999999893;0,07273514419552385;0,07273514419552385;0,00037999999999993594;0,00015161060294997965;164,36031800281086;-8,345392950436072;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0
19-04-2023_09-36-44;40;29;100000;AgN3;15;full;True;AgN3_29;6,078812241179603;0,029415304264273717;0,029415304264273717;0,00012999999999996348;3,0394061205898013;3,0394061205898013;9,99999999995449e-06;0,0001250590009179188;12007,298261082698;-9853,561378197144;3,7525377207927524;0,02476148450343708;0,02476148450343708;0,00012000000000000899;1,8762688603963762;1,8762688603963762;9,99999999995449e-06;9,199700862653206e-05;7399,170791150978;-6172,632527966918;0,23045649839192264;0,0136492737146243;0,0136492737146243;8,999999999997899e-05;0,11522824919596132;0,11522824919596132;1,999999999996449e-05;6,600653357469093e-06;430,33529441123653;-377,78533286401967;0,5587235106408662;0,017567486775219035;0,017567486775219035;0,00012000000000000899;0,2793617553204331;0,2793617553204331;1,999999999996449e-05;1,7162292937940184e-05;1074,1271984790176;-896,0723669785979;1,6584916870606685;0,020919572632489704;0,020919572632489704;0,00012000000000000899;0,8292458435303343;0,8292458435303343;1,999999999996449e-05;4,4912558648342795e-05;3250,3763609860475;-2711,5712584918256;4,82051441388707;0,07822435496011682;0,07822435496011682;0,17158999999999996;2,410257206943535;2,410257206943535;0,04680000000000001;0,3011824451030017;671,7229388739794;-28,62061226093688;0,234831342782577;0,0002606053590436939;0,0002606053590436939;0,29845;0,1174156713912885;0,1174156713912885;0,00024999999999997247;0,00021461498784621945;0,8283041680109751;-14,42650191322807;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0
19-04-2023_09-12-27;40;3;100000;AgN3;15;full;True;AgN3_3;10,222012774013292;0,029438405429987748;0,029438405429987748;0,00019000000000002348;5,111006387006646;5,111006387006646;2,0000000000020002e-05;0,0003191769651247927;17215,73240196941;-13372,045666772025;6,9793815603923575;0,024853344174898224;0,024853344174898224;0,00019000000000002348;3,4896907801961787;3,4896907801961787;2,0000000000020002e-05;0,00019266823299696133;11746,521773869252;-9123,923508937838;0,49352422045945793;0,014091424728954765;0,014091424728954765;0,00012000000000000899;0,24676211022972896;0,24676211022972896;2,0000000000020002e-05;1,3035673377549438e-05;823,7110778134562;-682,7970772054433;1,124592195370278;0,018070798048172753;0,018070798048172753;0,00014999999999998348;0,562296097685139;0,562296097685139;2,0000000000020002e-05;3,20008007375244e-05;1901,1088538969825;-1511,2489890905922;2,3843442719183714;0,02090822747077454;0,02090822747077454;0,00017000000000000348;1,1921721359591857;1,1921721359591857;2,0000000000020002e-05;7,41277775207294e-05;3991,953457390793;-3184,322556214154;4,830491607231196;0,02332978812347201;0,02332978812347201;-0,43972999999999995;2,415245803615598;2,415245803615598;0,047090000000000076;0,0;215,82717432195417;10,421845766877912;0,15594610383102925;0,0002522428162238993;0,0002522428162238993;0,018410000000000037;0,07797305191551462;0,07797305191551462;0,00034000000000000696;0,00017354829424921954;191,7010736850985;-8,29025343057;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0
